"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2026-02-03","14:30:00",6883.37,"18 Feb 3 6855 P STO 2.30 | 18 Feb 3 6755 P BTO 0.10",206,6917.81,"2026-02-03","16:00:00",0,"Expired",3663,98.7864077669903,18,1500339.64,176292,"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL / 100W]",45,0,23,1,19.47,18.12,9.01,-102.08,100,-26.21
"2026-02-03","13:00:00",6898.63,"17 Feb 3 6940 C STO 1.80 | 17 Feb 3 7010 C BTO 0.15",153,6917.81,"2026-02-03","16:00:00",0,"Expired",2558.5,98.36601307189542,17,1502898.14,116399,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",42.5,0,12,1,18.74,18.12,9.01,-86.82,100,-37.25
"2026-02-03","11:30:00",6930.28,"23 Feb 3 6965 C STO 2.20 | 23 Feb 3 7005 C BTO 0.30",180,6917.81,"2026-02-03","16:00:00",0,"Expired",4082.5,98.61111111111111,23,1496676.64,87860,"Bearish Credit 1H ORB [130% SL / 85% SL ADJ. 500%]",57.5,0,7.333,1,17.52,18.12,9.01,-55.17,100,-13.89
"2026-02-02","14:45:00",6987.86,"17 Feb 2 6990 C STO 2.65 | 17 Feb 2 7060 C BTO 0.05",248,6976.44,"2026-02-02","16:00:00",0,"Expired",4173.5,98.99193548387096,17,1506162.94,114784,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",42.5,0,53,1,16.13,16.44,-22.39,71.22,100,-20.97
"2026-02-02","14:30:00",6990.71,"28 Feb 4 6935 P STO 8.00 | 28 Feb 4 7040 C STO 2.95 | 28 Feb 6 6935 P BTO 18.70 | 28 Feb 6 7040 C BTO 13.55",-2140,6886.18,"2026-02-03","13:26:00",-1665,"Above Delta",-13568.8,-22.64485981308411,28,1492594.14,59920,"Monday 2/4 DC",134.4,134.4,0.34,0.774,16.12,19.25,-22.39,74.07,5.37,-25.47
"2026-02-02","14:30:00",6990.71,"18 Feb 2 6985 P STO 2.00 | 18 Feb 2 6885 P BTO 0.20",166,6986.17,"2026-02-02","14:33:00",355,"Stop Loss",-3492,-116.86746987951808,18,1506471.44,177012,"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL / 100W]",45,45,10,18.25,16.12,16.19,-22.39,74.07,0,-125.9
"2026-02-02","13:00:00",6986.95,"18 Feb 2 6975 P STO 2.55 | 18 Feb 2 6875 P BTO 0.25",216,6976.62,"2026-02-02","15:00:00",460,"Stop Loss",-4482,-115.27777777777777,18,1501989.44,176112,"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL / 100W]",45,45,10.2,22,16.23,16.39,-22.39,70.31,72.22,-133.8
"2026-01-30","14:30:00",6936,"18 Jan 30 6910 P STO 2.80 | 18 Jan 30 6810 P BTO 0.10",256,6939.03,"2026-01-30","16:00:00",0,"Expired",4563,99.0234375,18,1509963.44,175392,"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL / 100W]",45,0,28,1,17.78,17.56,-21.74,-11.27,100,-79.69
"2026-01-30","13:00:00",6914.11,"17 Jan 30 6950 C STO 2.10 | 17 Jan 30 7020 C BTO 0.10",188,6927.6,"2026-01-30","13:52:00",405,"Stop Loss",-3774,-118.08510638297874,17,1500627.94,115804,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",42.5,42.5,21,25.667,17.86,17.79,-21.74,-33.16,57.45,-118.09
"2026-01-30","11:30:00",6933.07,"23 Jan 30 6970 C STO 2.45 | 23 Jan 30 7010 C BTO 0.25",210,6939.03,"2026-01-30","16:00:00",0,"Expired",4772.5,98.80952380952381,23,1505400.44,87170,"Bearish Credit 1H ORB [130% SL / 85% SL ADJ. 500%]",57.5,0,9.8,1,17.41,17.56,-21.74,-14.2,100,-50
"2026-01-29","14:30:00",6943.98,"18 Jan 29 6930 P STO 2.10 | 18 Jan 29 6830 P BTO 0.10",186,6935.7,"2026-01-29","14:31:00",400,"Stop Loss",-3942,-117.74193548387098,18,1504401.94,176652,"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL / 100W]",45,45,21,44.5,17.15,17.32,-0.29,-33.76,0,-133.87
"2026-01-29","13:00:00",6911.4,"17 Jan 29 6945 C STO 1.95 | 17 Jan 29 7015 C BTO 0.10",173,6927.49,"2026-01-29","13:06:00",375,"Stop Loss",-3519,-119.65317919075144,17,1508343.94,116059,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",42.5,42.5,19.5,39.5,18.21,17.78,-0.29,-66.34,0,-134.1
"2026-01-29","11:30:00",6902.46,"23 Jan 29 6945 C STO 2.45 | 23 Jan 29 6985 C BTO 0.40",195,6929.12,"2026-01-29","12:14:00",462,"Stop Loss",-6256,-139.48717948717947,23,1511862.94,87515,"Bearish Credit 1H ORB [130% SL / 85% SL ADJ. 500%]",57.5,57.5,6.125,14.143,18.61,17.76,-0.29,-75.28,17.95,-146.15
"2026-01-28","14:45:00",6970.21,"17 Jan 28 6995 C STO 1.80 | 17 Jan 28 7065 C BTO 0.05",163,6978.03,"2026-01-28","16:00:00",0,"Expired",2728.5,98.46625766871165,17,1495525.94,116229,"METF CALL Spreads (13:00,14:30,14:45) [1.9 / 110% / 70W]",42.5,0,36,1,16.54,16.55,23.4,-31.79,100,-77.91
