"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2025-12-10","14:30:00",6852.53,"16 Dec 10 6790 P STO 2.60 | 16 Dec 10 6745 P BTO 0.75",171,6886.68,"2025-12-10","16:00:00",0,"Expired",2696,98.53801169590643,16,1176728.66,69264,"METF PUT Spreads (13:00,14:30) [2.5P / 170% / 50D SL]",40,0,3.467,1,16.67,15.81,-7.02,19.04,100,0
"2025-12-10","13:00:00",6849.67,"16 Dec 10 6765 P STO 2.55 | 16 Dec 10 6720 P BTO 0.85",156,6886.68,"2025-12-10","16:00:00",0,"Expired",2456,98.3974358974359,16,1174032.66,69504,"METF PUT Spreads (13:00,14:30) [2.5P / 170% / 50D SL]",40,0,3,1,16.96,15.81,-7.02,16.18,100,-76.28
"2025-12-09","11:15:00",6859.82,"12 Dec 9 6885 C STO 0.60 | 12 Dec 9 6885 P STO 25.80 | 12 Dec 9 6915 C BTO 0.10 | 12 Dec 9 6855 P BTO 5.65",2060,6840.51,"2025-12-09","16:00:00",3000,"Expired",-11340,-45.87378640776699,12,1177672.66,11280,"Mid Day Butterfly [PUTs + CALLs / no Mondays] ",60,0,4.591,3.09,16.53,16.86,-5.9,19.21,11.17,-45.63
"2025-12-09","09:35:00",6846.39,"16 Dec 10 6795 P STO 11.45 | 16 Dec 10 6910 C STO 4.75 | 16 Dec 12 6795 P BTO 26.25 | 16 Dec 12 6910 C BTO 18.45",-2855,6852.53,"2025-12-10","14:30:00",-2490,"Exited at Specified Time",-5904,-12.924693520140105,16,1171576.66,45680,"Tuesday 1/3 Double Calendar [Delta based rail]",64,0,0.362,0.147,17.13,16.67,-5.9,5.78,0.35,-19.44
"2025-12-08","14:30:00",6834.02,"20 Dec 10 6765 P STO 9.45 | 20 Dec 10 6905 C STO 5.45 | 20 Dec 12 6765 P BTO 21.40 | 20 Dec 12 6905 C BTO 16.90",-2350,6838.61,"2025-12-10","09:45:00",-2350,"Exited at Specified Time",-192,-0.4085106382978723,20,1177480.66,47000,"Monday 2/4 DC",96,96,0.389,0.186,16.86,17.37,4.8,-41.18,14.47,0
"2025-12-08","13:00:00",6852.79,"16 Dec 8 6835 P STO 2.35 | 16 Dec 8 6790 P BTO 0.25",196,6838.17,"2025-12-08","13:31:00",535,"Stop Loss",-5504,-175.51020408163265,16,1185727.66,68864,"METF PUT Spreads (13:00,14:30) [2.5P / 170% / 50D SL]",40,40,9.4,13.333,16.56,16.83,4.8,-22.41,10.71,-183.16
"2025-12-08","11:32:00",6849.65,"18 Dec 8 6875 C STO 2.20 | 18 Dec 8 6915 C BTO 0.25",185,6846.51,"2025-12-08","16:00:00",0,"Expired",3285,98.64864864864865,18,1189012.66,68670,"Bearish Credit 1H ORB [130% SL / 85% SL ADJ. 500%]",45,0,8.8,1,16.7,16.64,4.8,-25.55,100,-8.11
"2025-12-05","13:00:00",6874.48,"16 Dec 5 6855 P STO 2.40 | 16 Dec 5 6810 P BTO 0.35",191,6870.4,"2025-12-05","16:00:00",0,"Expired",3016,98.69109947643979,16,1187046.66,68944,"METF PUT Spreads (13:00,14:30) [2.5P / 170% / 50D SL]",40,0,6.857,1,15.6,15.35,9.2,8.16,100,-36.13
"2025-12-05","11:32:00",6864.26,"18 Dec 5 6890 C STO 2.55 | 18 Dec 5 6930 C BTO 0.10",235,6870.4,"2025-12-05","16:00:00",0,"Expired",4185,98.93617021276596,18,1191231.66,67770,"Bearish Credit 1H ORB [130% SL / 85% SL ADJ. 500%]",45,0,25.5,1,16.11,15.35,9.2,-2.06,100,-65.96
"2025-12-04","13:00:00",6855.71,"16 Dec 4 6840 P STO 2.55 | 16 Dec 4 6795 P BTO 0.30",211,6838.9,"2025-12-04","14:20:00",575,"Stop Loss",-5904,-174.8815165876777,16,1184030.66,68624,"METF PUT Spreads (13:00,14:30) [2.5P / 170% / 50D SL]",40,40,8.5,17.444,16.01,16.26,16.75,-10.76,50.24,-269.67
