"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2025-08-22","11:15:00",6470.23,"48 Aug 22 6495 C STO 1.40 | 48 Aug 22 6495 P STO 26.90 | 48 Aug 22 6525 C BTO 0.20 | 48 Aug 22 6465 P BTO 8.30",1975,6466.91,"2025-08-22","16:00:00",2809,"Expired",-40272,-42.48101265822785,48,3268112,49200,"",240,3.33,186,14.42,85.64,18.73,-49.87
"2025-08-12","11:15:00",6423.79,"52 Aug 12 6450 C STO 0.70 | 52 Aug 12 6450 P STO 27.10 | 52 Aug 12 6480 C BTO 0.15 | 52 Aug 12 6420 P BTO 6.80",2080,6445.76,"2025-08-12","16:00:00",424,"Expired",85852,79.375,52,3308384,47840,"",260,4,43,21.72,28.62,80.05,-5.29
"2025-08-08","11:15:00",6382.04,"42 Aug 8 6405 C STO 1.00 | 42 Aug 8 6405 P STO 23.45 | 42 Aug 8 6435 C BTO 0.15 | 42 Aug 8 6375 P BTO 5.70",1855,6389.45,"2025-08-08","16:00:00",1555,"Expired",12390,15.902964959568733,42,3222532,48090,"",210,4.18,160.5,15.22,26.82,39.89,-32.88
"2025-08-06","11:15:00",6328.99,"51 Aug 6 6355 C STO 0.80 | 51 Aug 6 6355 P STO 27.70 | 51 Aug 6 6385 C BTO 0.15 | 51 Aug 6 6325 P BTO 7.50",2080,6345.06,"2025-08-06","16:00:00",994,"Expired",55131,51.971153846153854,51,3210142,46920,"",255,3.73,101.5,10.11,19.69,75.24,0
"2025-07-21","11:15:00",6332.45,"49 Jul 21 6355 C STO 0.45 | 49 Jul 21 6355 P STO 23.50 | 49 Jul 21 6385 C BTO 0.10 | 49 Jul 21 6325 P BTO 3.45",2035,6305.6,"2025-07-21","16:00:00",3000,"Expired",-47530,-47.665847665847664,49,3155011,47285,"",245,6.75,2.58,7.95,27.71,10.57,-49.88
"2025-07-17","11:15:00",6284.63,"52 Jul 17 6310 C STO 0.60 | 52 Jul 17 6310 P STO 26.60 | 52 Jul 17 6340 C BTO 0.10 | 52 Jul 17 6280 P BTO 6.05",2100,6297.36,"2025-07-17","16:00:00",1264,"Expired",43212,39.57142857142858,52,3202541,46800,"",260,4.42,118,-0.3,21.23,67.62,-1.9
"2025-07-03","11:15:00",6279.33,"62 Jul 3 6305 C STO 0.30 | 62 Jul 3 6305 P STO 25.65 | 62 Jul 3 6335 C BTO 0.10 | 62 Jul 3 6275 P BTO 3.45",2235,6279.35,"2025-07-03","13:00:00",2565,"Expired",-20770,-14.988814317673377,62,3159329,47430,"",310,7.31,133.25,19.04,32.87,8.5,-25.28
"2025-07-02","11:15:00",6209.62,"50 Jul 2 6235 C STO 0.80 | 50 Jul 2 6235 P STO 25.95 | 50 Jul 2 6265 C BTO 0.15 | 50 Jul 2 6205 P BTO 5.80",2075,6227.42,"2025-07-02","16:00:00",758,"Expired",65600,63.2289156626506,50,3180099,46250,"",250,4.5,81,-4.13,15.74,63.47,0
"2025-06-27","11:15:00",6175.93,"47 Jun 27 6200 C STO 0.75 | 47 Jun 27 6200 P STO 24.90 | 47 Jun 27 6230 C BTO 0.15 | 47 Jun 27 6170 P BTO 5.35",2010,6173.07,"2025-06-27","16:00:00",2693,"Expired",-32336,-34.22885572139304,47,3114499,46530,"",235,4.66,278.5,9.68,25.23,30.6,-49.75
"2025-06-26","11:15:00",6128.64,"53 Jun 26 6155 C STO 0.55 | 53 Jun 26 6155 P STO 26.75 | 53 Jun 26 6185 C BTO 0.10 | 53 Jun 26 6125 P BTO 5.80",2135,6141.02,"2025-06-26","16:00:00",1398,"Expired",38796,34.285714285714285,53,3146835,45845,"",265,4.63,141,19.93,16.55,51.99,-11.24
