"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2025-07-08","10:33:00",6230.06,"4 Jul 8 6215 P BTO 4.50 | 4 Jul 8 6230 C BTO 9.90 | 4 Jul 8 6260 C STO 1.05 | 4 Jul 8 6185 P STO 0.95",-1250,6225.52,"2025-07-08","16:00:00",0,"Expired",-5028.48,-100.5696,4,217093.72,5000,"",28.48,0.14,1,16.89,16.87,4.05,-3.97,21.2,-100
"2025-06-26","10:30:00",6123.18,"5 Jun 26 6110 P BTO 3.75 | 5 Jun 26 6125 C BTO 7.20 | 5 Jun 26 6155 C STO 0.55 | 5 Jun 26 6075 P STO 0.75",-975,6141.02,"2025-06-26","16:00:00",-1602,"Expired",3099.4,63.5774358974359,5,222122.2,4875,"",35.6,0.12,0.006,16.38,16.43,19.93,11.09,102.56,-7.69
"2025-06-24","10:30:00",6069.38,"4 Jun 24 6055 P BTO 5.60 | 4 Jun 24 6070 C BTO 10.25 | 4 Jun 24 6100 C STO 1.15 | 4 Jun 24 6025 P STO 1.80",-1300,6092.18,"2025-06-24","16:00:00",-2218,"Expired",3643.52,70.06769230769231,4,219022.8,5200,"",28.48,0.19,0.004,17.93,17.54,36.04,8.17,116.54,-1.54
"2025-06-18","10:30:00",6014.45,"2 Jun 18 6000 P BTO 11.95 | 2 Jun 18 6015 C BTO 16.45 | 2 Jun 18 6045 C STO 4.30 | 2 Jun 18 5970 P STO 5.55",-1865,5980.87,"2025-06-18","16:00:00",-1913,"Expired",81.76,2.191957104557641,2,215379.28,3730,"",14.24,0.35,0.005,19.74,20.27,5.21,26.52,8.85,-56.3
"2025-06-16","10:30:00",6046.9,"4 Jun 16 6030 P BTO 4.80 | 4 Jun 16 6045 C BTO 11.70 | 4 Jun 16 6075 C STO 1.40 | 4 Jun 16 6000 P STO 1.80",-1340,6033.11,"2025-06-16","16:00:00",0,"Expired",-5388.48,-100.53134328358209,4,215297.52,5360,"",28.48,0.19,0.5,18.85,19.1,27.03,42.9,6.34,-100
"2025-06-11","10:35:00",6056.85,"4 Jun 11 6040 P BTO 4.45 | 4 Jun 11 6055 C BTO 10.95 | 4 Jun 11 6085 C STO 1.45 | 4 Jun 11 6010 P STO 1.05",-1300,6022.24,"2025-06-11","16:00:00",-1776,"Expired",1875.52,36.067692307692305,4,220686,5200,"",28.48,0.16,0.006,16.37,17.38,10.57,7.47,96.92,-49.23
"2025-06-10","12:02:00",6025.42,"4 Jun 10 6010 P BTO 4.30 | 4 Jun 10 6025 C BTO 9.30 | 4 Jun 10 6055 C STO 1.20 | 4 Jun 10 5980 P STO 0.90",-1160,6038.81,"2025-06-10","16:00:00",-1381,"Expired",855.52,18.43793103448276,4,218810.48,4640,"",28.48,0.15,0.007,16.93,16.73,4.03,15.51,43.1,-66.38
"2025-06-06","11:49:00",5997.4,"3 Jun 6 5980 P BTO 5.05 | 3 Jun 6 5995 C BTO 12.35 | 3 Jun 6 6025 C STO 1.50 | 3 Jun 6 5950 P STO 1.55",-1445,6000.36,"2025-06-06","16:00:00",-536,"Expired",-2748.36,-63.399307958477515,3,217954.96,4335,"",21.36,0.18,0.018,16.95,16.82,47.76,10.34,21.8,-62.91
"2025-06-05","11:00:00",5983.22,"3 Jun 5 5970 P BTO 7.05 | 3 Jun 5 5985 C BTO 10.90 | 3 Jun 5 6015 C STO 2.05 | 3 Jun 5 5940 P STO 1.80",-1420,5939.3,"2025-06-05","16:00:00",-3000,"Expired",4718.64,110.7661971830986,3,220703.32,4260,"",21.36,0.21,0.043,17.27,18.57,14.86,-2.45,111.27,-53.17
"2025-06-03","10:46:00",5948.78,"4 Jun 3 5935 P BTO 5.15 | 4 Jun 3 5950 C BTO 9.45 | 4 Jun 3 5980 C STO 1.35 | 4 Jun 3 5905 P STO 1.25",-1210,5970.37,"2025-06-03","16:00:00",-2037,"Expired",3279.52,67.7586776859504,4,215984.68,4840,"",28.48,0.18,0.005,18.06,17.68,2.62,10.22,109.09,-0.83
"2025-05-27","10:30:00",5890.46,"3 May 27 5875 P BTO 5.55 | 3 May 27 5890 C BTO 11.15 | 3 May 27 5920 C STO 1.65 | 3 May 27 5845 P STO 1.45",-1370,5921.54,"2025-05-27","16:00:00",-3000,"Expired",4868.64,118.45839416058395,3,212705.16,4110,"",21.36,0.19,0.029,19.52,18.97,51.25,36.39,118.98,-6.93
"2025-05-16","11:42:00",5930.21,"4 May 16 5915 P BTO 4.75 | 4 May 16 5930 C BTO 9.75 | 4 May 16 5960 C STO 1.35 | 4 May 16 5885 P STO 0.90",-1235,5958.38,"2025-05-16","16:00:00",-2838,"Expired",6383.52,129.22105263157894,4,207836.52,4940,"",28.48,0.16,0.005,17.38,17.2,12.16,1.12,129.8,-11.34
"2025-05-12","10:46:00",5810.5,"2 May 12 5795 P BTO 9.40 | 2 May 12 5810 C BTO 16.25 | 2 May 12 5840 C STO 5.15 | 2 May 12 5765 P STO 3.40",-1720,5844.19,"2025-05-12","16:00:00",-3000,"Expired",2545.76,74.00465116279071,2,201453,3440,"",14.24,0.33,0.126,19.24,18.22,147.29,3.3,74.42,-24.71
"2025-05-08","11:21:00",5669.68,"2 May 8 5655 P BTO 10.90 | 2 May 8 5670 C BTO 17.35 | 2 May 8 5700 C STO 5.70 | 2 May 8 5625 P STO 4.30",-1835,5663.94,"2025-05-08","16:00:00",0,"Expired",-3684.24,-100.38801089918255,2,198907.24,3670,"",14.24,0.35,1,22.49,22.58,32.32,6.08,48.23,-100
"2025-05-07","10:30:00",5635.55,"2 May 7 5620 P BTO 15.05 | 2 May 7 5635 C BTO 21.20 | 2 May 7 5665 C STO 9.15 | 2 May 7 5595 P STO 8.20",-1900,5631.28,"2025-05-07","16:00:00",0,"Expired",-3814.24,-100.37473684210525,2,202591.48,3800,"",14.24,0.48,0.2,24.47,23.72,7.27,21.37,3.42,-100
"2025-05-02","12:02:00",5686.31,"3 May 2 5670 P BTO 7.30 | 3 May 2 5685 C BTO 14.55 | 3 May 2 5715 C STO 3.50 | 3 May 2 5645 P STO 3.40",-1505,5686.67,"2025-05-02","16:00:00",-167,"Expired",-4035.36,-89.37674418604652,3,206405.72,4515,"",21.36,0.32,0.048,22.5,22.7,41.74,40.43,14.29,-96.01
"2025-04-24","10:30:00",5439.91,"2 Apr 24 5425 P BTO 17.80 | 2 Apr 24 5440 C BTO 23.65 | 2 Apr 24 5465 C STO 12.65 | 2 Apr 24 5400 P STO 10.75",-1815,5484.77,"2025-04-24","16:00:00",-2500,"Expired",1355.76,37.348760330578514,2,210441.08,3630,"",14.24,0.56,0.452,27.3,26.68,5.52,58.53,37.74,-6.89
"2025-04-23","10:30:00",5455.42,"2 Apr 23 5440 P BTO 21.25 | 2 Apr 23 5455 C BTO 29.40 | 2 Apr 23 5485 C STO 15.45 | 2 Apr 23 5415 P STO 14.00",-2130,5375.86,"2025-04-23","16:00:00",-2500,"Expired",725.76,17.036619718309858,2,209085.32,4260,"",14.24,0.58,0.595,27.22,28.48,108.16,59.5,20.19,-12.91
"2025-04-22","10:30:00",5246.56,"2 Apr 22 5235 P BTO 16.10 | 2 Apr 22 5245 C BTO 22.45 | 2 Apr 22 5275 C STO 9.30 | 2 Apr 22 5205 P STO 8.20",-2115,5287.76,"2025-04-22","16:00:00",-3000,"Expired",1755.76,41.50732860520095,2,208359.56,4230,"",14.24,0.45,0.281,30.61,30.5,49.47,38.89,42.08,-22.46
