"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2026-01-22","10:45:00",6915.7,"1 Jan 22 6900 P BTO 6.30 | 1 Jan 22 6915 C BTO 12.25 | 1 Jan 22 6950 C STO 1.30 | 1 Jan 22 6865 P STO 1.65",-1570,6913.35,"2026-01-22","16:00:00",0,"Expired",-1577.12,-100.45350318471338,1,119267.92,1570,"",7.12,0.159,1,15.76,15.61,38.82,1.26,31.85,-100
"2026-01-21","10:30:00",6853.41,"1 Jan 21 6835 P BTO 7.00 | 1 Jan 21 6855 C BTO 12.15 | 1 Jan 21 6890 C STO 1.15 | 1 Jan 21 6800 P STO 2.25",-1585,6875.62,"2026-01-21","16:00:00",-2062,"Expired",469.88,29.645425867507885,1,120845.04,1585,"",7.12,0.178,0.005,17.71,17.02,13.85,42.7,107.89,-48.26
"2026-01-15","10:31:00",6967.12,"2 Jan 15 6950 P BTO 4.50 | 2 Jan 15 6965 C BTO 11.20 | 2 Jan 15 7000 C STO 0.60 | 2 Jan 15 6915 P STO 1.15",-1405,6944.47,"2026-01-15","16:00:00",-553,"Expired",-1718.24,-61.1473309608541,2,120375.16,2810,"",14.24,0.111,0.019,15.58,15.8,42.86,-2.34,18.15,-66.55
"2026-01-09","10:30:00",6957.03,"2 Jan 9 6940 P BTO 5.35 | 2 Jan 9 6955 C BTO 11.55 | 2 Jan 9 6990 C STO 0.95 | 2 Jan 9 6905 P STO 1.50",-1455,6966.28,"2026-01-09","16:00:00",-1128,"Expired",-668.24,-22.963573883161512,2,122093.4,2910,"",14.24,0.145,0.009,14.9,14.52,6.37,29.2,54.64,-31.96
"2025-12-24","10:30:00",6920.27,"7 Dec 24 6905 P BTO 0.50 | 7 Dec 24 6920 C BTO 3.75 | 7 Dec 24 6955 C STO 0.15 | 7 Dec 24 6870 P STO 0.15",-405,6932.05,"2025-12-24","13:00:00",-1205,"Expired",5550.16,195.77283950617283,7,122761.64,2835,"",49.84,0.071,0.008,13.7,13.41,-4.88,15.36,317.28,-17.28
"2025-12-22","10:30:00",6866.27,"2 Dec 22 6850 P BTO 3.55 | 2 Dec 22 6865 C BTO 9.05 | 2 Dec 22 6900 C STO 0.40 | 2 Dec 22 6815 P STO 0.85",-1145,6878.49,"2025-12-22","16:00:00",-1349,"Expired",393.76,17.19475982532751,2,117211.48,2290,"",14.24,0.099,0.007,14.47,14.03,30.71,1.06,51.09,-29.26
"2025-12-19","10:30:00",6821.17,"1 Dec 19 6805 P BTO 8.30 | 1 Dec 19 6820 C BTO 14.10 | 1 Dec 19 6855 C STO 1.50 | 1 Dec 19 6770 P STO 2.95",-1805,6834.5,"2025-12-19","16:00:00",-1450,"Expired",-362.12,-20.062049861495844,1,116817.72,1805,"",7.12,0.199,0.007,15.46,15.1,17.86,28.55,14.4,-44.6
"2025-12-18","10:32:00",6800.91,"1 Dec 18 6785 P BTO 8.90 | 1 Dec 18 6800 C BTO 15.05 | 1 Dec 18 6835 C STO 2.10 | 1 Dec 18 6750 P STO 3.10",-1885,6774.76,"2025-12-18","16:00:00",-1024,"Expired",-868.12,-46.05411140583555,1,117179.84,1885,"",7.12,0.217,0.01,16.27,16.81,56.63,22.85,16.98,-88.06
"2025-12-02","10:43:00",6839.46,"2 Dec 2 6820 P BTO 5.75 | 2 Dec 2 6840 C BTO 11.55 | 2 Dec 2 6875 C STO 1.00 | 2 Dec 2 6790 P STO 1.65",-1475,6829.37,"2025-12-02","16:00:00",0,"Expired",-2964.24,-100.48271186440678,2,118047.96,2950,"",14.24,0.153,1,16.58,16.6,18.33,8.5,18.64,-100
"2025-11-26","10:35:00",6803,"2 Nov 26 6785 P BTO 6.55 | 2 Nov 26 6805 C BTO 11.10 | 2 Nov 26 6835 C STO 1.85 | 2 Nov 26 6750 P STO 2.15",-1375,6812.61,"2025-11-26","16:00:00",-761,"Expired",-1242.24,-45.17236363636364,2,121012.2,2750,"",14.24,0.227,0.013,17.68,17.29,27.67,9.45,69.09,-44.65
"2025-11-25","10:38:00",6708.82,"1 Nov 25 6690 P BTO 9.70 | 1 Nov 25 6710 C BTO 15.60 | 1 Nov 25 6740 C STO 3.80 | 1 Nov 25 6660 P STO 4.25",-1735,6765.88,"2025-11-25","16:00:00",-3000,"Expired",1257.88,72.50028818443805,1,122254.44,1735,"",7.12,0.318,0.467,20.07,18.61,-8.09,11.79,72.91,-10.66
"2025-11-24","10:30:00",6669.4,"1 Nov 24 6655 P BTO 13.10 | 1 Nov 24 6670 C BTO 18.30 | 1 Nov 24 6705 C STO 4.60 | 1 Nov 24 6620 P STO 5.80",-2110,6705.12,"2025-11-24","16:00:00",-3500,"Expired",1382.88,65.539336492891,1,120996.56,2110,"",7.12,0.331,0.04,21.31,20.63,33.55,32.86,65.88,-5.21
"2025-11-21","11:39:00",6585.96,"1 Nov 21 6570 P BTO 18.20 | 1 Nov 21 6585 C BTO 24.85 | 1 Nov 21 6620 C STO 10.10 | 1 Nov 21 6535 P STO 8.65",-2440,6602.99,"2025-11-21","16:00:00",-1799,"Expired",-648.12,-26.562295081967214,1,119613.68,2440,"",7.12,0.436,0.005,24.95,23.63,17.01,30.19,38.73,-45.9
"2025-11-19","10:30:00",6679.08,"1 Nov 19 6660 P BTO 9.85 | 1 Nov 19 6680 C BTO 15.55 | 1 Nov 19 6710 C STO 4.05 | 1 Nov 19 6630 P STO 4.25",-1720,6642.16,"2025-11-19","16:00:00",-1784,"Expired",56.88,3.3069767441860467,1,120261.8,1720,"",7.12,0.327,0.006,22.37,23.56,8.52,53.24,60.17,-58.72
"2025-11-10","10:30:00",6808.95,"2 Nov 10 6790 P BTO 5.90 | 2 Nov 10 6810 C BTO 10.45 | 2 Nov 10 6845 C STO 0.80 | 2 Nov 10 6760 P STO 2.20",-1345,6832.43,"2025-11-10","16:00:00",-2243,"Expired",1781.76,66.2364312267658,2,120204.92,2690,"",14.24,0.183,0.004,17.95,17.72,56.56,23.59,115.99,-40.15
"2025-10-30","11:14:00",6874.42,"1 Oct 30 6855 P BTO 7.45 | 1 Oct 30 6875 C BTO 13.70 | 1 Oct 30 6910 C STO 1.90 | 1 Oct 30 6825 P STO 2.90",-1645,6822.34,"2025-10-30","16:00:00",-3000,"Expired",1347.88,81.93799392097264,1,118423.16,1645,"",7.12,0.227,0.077,16.61,17.36,-30.09,13.92,82.37,-61.7
"2025-10-20","10:30:00",6725.17,"2 Oct 20 6710 P BTO 6.15 | 2 Oct 20 6725 C BTO 10.50 | 2 Oct 20 6760 C STO 0.75 | 2 Oct 20 6675 P STO 2.50",-1350,6735.13,"2025-10-20","16:00:00",-1013,"Expired",-688.24,-25.490370370370368,2,117075.28,2700,"",14.24,0.195,0.01,18.98,18.32,26.04,35.12,46.3,-24.96
"2025-10-17","10:30:00",6644.88,"1 Oct 17 6630 P BTO 19.40 | 1 Oct 17 6645 C BTO 25.65 | 1 Oct 17 6680 C STO 10.00 | 1 Oct 17 6595 P STO 10.30",-2485,6664.01,"2025-10-17","16:00:00",-1901,"Expired",-591.12,-23.787525150905434,1,117763.52,2485,"",7.12,0.451,0.005,23.16,21.02,-15.8,31.61,15.09,-39.24
"2025-10-15","10:30:00",6718.7,"2 Oct 15 6700 P BTO 7.00 | 2 Oct 15 6720 C BTO 11.60 | 2 Oct 15 6750 C STO 1.75 | 2 Oct 15 6670 P STO 3.35",-1360,6671.06,"2025-10-15","16:00:00",-2894,"Expired",3053.76,112.27058823529413,2,118354.64,2720,"",14.24,0.274,0.017,19.2,20.46,43.96,30.43,120.22,-24.26
"2025-10-13","10:36:00",6642,"1 Oct 13 6625 P BTO 10.60 | 1 Oct 13 6640 C BTO 17.40 | 1 Oct 13 6675 C STO 3.50 | 1 Oct 13 6590 P STO 4.50",-2010,6654.72,"2025-10-13","16:00:00",-1472,"Expired",-545.12,-27.120398009950247,1,115300.88,2010,"",7.12,0.286,0.007,19.85,18.94,70.02,19.47,25.62,-54.73
"2025-10-08","10:30:00",6742.58,"2 Oct 8 6725 P BTO 3.60 | 2 Oct 8 6745 C BTO 7.55 | 2 Oct 8 6775 C STO 0.40 | 2 Oct 8 6690 P STO 1.00",-985,6753.72,"2025-10-08","16:00:00",-872,"Expired",-240.24,-12.19492385786802,2,115846,1970,"",14.24,0.126,0.011,16.71,16.25,9.28,18.71,24.37,-51.78
"2025-10-03","11:49:00",6743.43,"4 Oct 3 6725 P BTO 1.85 | 4 Oct 3 6745 C BTO 5.95 | 4 Oct 3 6775 C STO 0.15 | 4 Oct 3 6695 P STO 0.65",-710,6715.79,"2025-10-03","16:00:00",-921,"Expired",815.52,28.71549295774648,4,116086.24,2840,"",28.48,0.103,0.011,16.25,16.53,6.79,21.29,112.68,-63.38
"2025-09-26","10:39:00",6618.73,"1 Sep 26 6600 P BTO 6.60 | 1 Sep 26 6620 C BTO 12.75 | 1 Sep 26 6650 C STO 2.40 | 1 Sep 26 6570 P STO 1.95",-1510,6643.7,"2025-09-26","16:00:00",-2370,"Expired",852.88,56.48211920529801,1,115270.72,1510,"",7.12,0.225,0.004,16.47,15.36,10.66,3.35,61.92,-33.11
"2025-09-04","10:30:00",6459.92,"2 Sep 4 6445 P BTO 3.80 | 2 Sep 4 6460 C BTO 8.25 | 2 Sep 4 6490 C STO 0.50 | 2 Sep 4 6410 P STO 0.60",-1105,6502.08,"2025-09-04","16:00:00",-3000,"Expired",3775.76,170.84886877828055,2,114417.84,2210,"",14.24,0.091,0.288,15.88,15.41,8.34,3.32,174.21,0
"2025-09-03","10:31:00",6439.22,"2 Sep 3 6425 P BTO 4.70 | 2 Sep 3 6440 C BTO 9.00 | 2 Sep 3 6470 C STO 0.60 | 2 Sep 3 6390 P STO 0.95",-1225,6448.26,"2025-09-03","16:00:00",-826,"Expired",-812.24,-33.15265306122449,2,110642.08,2450,"",14.24,0.113,0.014,16.96,16.48,30.28,-6.6,36.33,-92.24
"2025-08-22","10:30:00",6455.83,"1 Aug 22 6440 P BTO 9.40 | 1 Aug 22 6455 C BTO 14.40 | 1 Aug 22 6490 C STO 2.05 | 1 Aug 22 6405 P STO 3.85",-1800,6466.91,"2025-08-22","16:00:00",-1191,"Expired",-616.12,-34.22888888888889,1,111454.32,1800,"",7.12,0.248,0.009,14.77,14.24,14.42,71.24,35.83,-66.39
"2025-08-19","10:34:00",6450.23,"2 Aug 19 6435 P BTO 2.70 | 2 Aug 19 6450 C BTO 7.75 | 2 Aug 19 6480 C STO 0.35 | 2 Aug 19 6400 P STO 0.55",-965,6411.37,"2025-08-19","16:00:00",-2363,"Expired",2781.76,144.13264248704664,2,112070.44,1930,"",14.24,0.086,0.004,14.81,15.56,-2.91,3.99,225.39,-15.03
