"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2026-01-27","09:35:00",6966.22,"1 Jan 28 6925 P STO 8.95 | 1 Jan 28 7010 C STO 3.30 | 1 Jan 30 6925 P BTO 24.00 | 1 Jan 30 7010 C BTO 17.80",-2960,6964.44,"2026-01-28","14:30:00",-3270,"Exited at Specified Time",306,10.337837837837839,1,95733,2960,"",4,0.293,0.093,15.73,0.26,13.01,-3.55
"2026-01-20","09:35:00",6849.5,"1 Jan 21 6785 P STO 14.45 | 1 Jan 21 6930 C STO 5.90 | 1 Jan 23 6785 P BTO 27.55 | 1 Jan 23 6930 C BTO 16.15",-2340,6867.66,"2026-01-21","14:30:00",-1365,"Exited at Specified Time",-979,-41.83760683760684,1,95427,2340,"",4,0.466,0.074,-74.77,-15.74,6.41,-41.24
"2026-01-13","09:35:00",6983.38,"2 Jan 14 6950 P STO 8.80 | 2 Jan 14 7030 C STO 3.05 | 2 Jan 16 6950 P BTO 18.05 | 2 Jan 16 7030 C BTO 11.80",-1805,6902.84,"2026-01-14","10:01:00",-1045,"Above Delta",-1528,-42.32686980609418,2,96406,3610,"",8,0.397,0.826,0.14,5.97,0.55,-41.55
"2026-01-06","09:35:00",6909.43,"1 Jan 7 6875 P STO 7.00 | 1 Jan 7 6950 C STO 2.45 | 1 Jan 9 6875 P BTO 17.70 | 1 Jan 9 6950 C BTO 13.20",-2150,6963.97,"2026-01-07","12:06:00",-2040,"Below Delta",-114,-5.3023255813953485,1,97934,2150,"",4,0.306,0.434,5.98,1.4,23.72,-4.65
"2025-12-30","09:35:00",6900.82,"4 Dec 31 6865 P STO 7.60 | 4 Dec 31 6945 C STO 3.25 | 4 Jan 2 6865 P BTO 11.80 | 4 Jan 2 6945 C BTO 7.30",-830,6877.91,"2025-12-31","14:30:00",-970,"Exited at Specified Time",544,16.3855421686747,4,98048,3320,"",16,0.568,0.152,-5.3,0.38,20.48,-12.65
"2025-12-23","09:35:00",6880.28,"5 Dec 24 6855 P STO 6.20 | 5 Dec 24 6910 C STO 2.70 | 5 Dec 26 6855 P BTO 10.20 | 5 Dec 26 6910 C BTO 6.40",-775,6918.77,"2025-12-24","10:11:00",-845,"Below Delta",330,8.516129032258064,5,97504,3875,"",20,0.536,0.533,-6.08,7.87,34.19,-2.58
"2025-12-16","09:35:00",6804.21,"1 Dec 17 6755 P STO 11.40 | 1 Dec 17 6865 C STO 4.60 | 1 Dec 19 6755 P BTO 24.85 | 1 Dec 19 6865 C BTO 17.45",-2635,6732.42,"2025-12-17","13:41:00",-2565,"Above Delta",-74,-2.808349146110057,1,97174,2635,"",4,0.378,0.493,-16.39,4.09,8.35,-12.33
"2025-12-09","09:35:00",6846.39,"1 Dec 10 6795 P STO 11.45 | 1 Dec 10 6910 C STO 4.75 | 1 Dec 12 6795 P BTO 26.25 | 1 Dec 12 6910 C BTO 18.45",-2855,6852.53,"2025-12-10","14:30:00",-2490,"Exited at Specified Time",-369,-12.924693520140105,1,97248,2855,"",4,0.362,0.147,-5.9,5.78,0.35,-19.44
"2025-12-02","09:35:00",6833.71,"1 Dec 3 6790 P STO 9.00 | 1 Dec 3 6885 C STO 3.45 | 1 Dec 5 6790 P BTO 20.20 | 1 Dec 5 6885 C BTO 13.30",-2110,6856.28,"2025-12-03","14:30:00",-1805,"Exited at Specified Time",-309,-14.644549763033176,1,97617,2110,"",4,0.372,0.019,18.33,2.75,4.98,-15.4
"2025-11-25","09:35:00",6709.61,"3 Nov 26 6655 P STO 12.20 | 3 Nov 26 6775 C STO 4.60 | 3 Nov 28 6655 P BTO 19.05 | 3 Nov 28 6775 C BTO 10.80",-1310,6808.98,"2025-11-26","09:50:00",-910,"Below Delta",-1212,-30.839694656488547,3,97926,3930,"",12,0.563,0.809,-8.09,12.58,1.15,-29.77
"2025-11-11","09:35:00",6820.23,"1 Nov 12 6780 P STO 9.95 | 1 Nov 12 6875 C STO 3.65 | 1 Nov 14 6780 P BTO 22.20 | 1 Nov 14 6875 C BTO 13.90",-2255,6847.09,"2025-11-12","14:30:00",-2515,"Exited at Specified Time",256,11.352549889135254,1,99138,2255,"",4,0.377,0.019,-16.79,4.59,18.85,-10.42
"2025-11-04","09:35:00",6768.79,"1 Nov 5 6710 P STO 14.60 | 1 Nov 5 6845 C STO 5.80 | 1 Nov 7 6710 P BTO 26.75 | 1 Nov 7 6845 C BTO 16.75",-2315,6823.3,"2025-11-05","14:30:00",-2060,"Exited at Specified Time",-259,-11.187904967602593,1,98882,2315,"",4,0.469,0.017,-63.45,-19.73,4.54,-15.98
"2025-10-28","09:35:00",6890.46,"1 Oct 29 6850 P STO 8.50 | 1 Oct 29 6940 C STO 3.80 | 1 Oct 31 6850 P BTO 24.80 | 1 Oct 31 6940 C BTO 18.55",-3110,6902.36,"2025-10-29","14:30:00",-3705,"Exited at Specified Time",591,19.0032154340836,1,99141,3110,"",4,0.284,0.128,22.58,-7.28,39.55,-4.18
"2025-10-21","09:35:00",6738.24,"1 Oct 22 6695 P STO 9.80 | 1 Oct 22 6785 C STO 3.20 | 1 Oct 24 6695 P BTO 23.70 | 1 Oct 24 6785 C BTO 16.80",-2755,6670.69,"2025-10-22","13:38:00",-2205,"Above Delta",-554,-20.108892921960074,1,98550,2755,"",4,0.321,0.548,1.62,1.49,0.73,-111.25
"2025-10-14","09:35:00",6580.13,"1 Oct 15 6510 P STO 15.90 | 1 Oct 15 6665 C STO 6.10 | 1 Oct 17 6510 P BTO 32.10 | 1 Oct 17 6665 C BTO 19.40",-2955,6705.86,"2025-10-15","09:58:00",-2320,"Below Delta",-639,-21.6243654822335,1,99104,2955,"",4,0.427,0.667,-52.23,-22.36,3.89,-21.66
"2025-10-07","09:35:00",6753.65,"2 Oct 8 6725 P STO 6.90 | 2 Oct 8 6790 C STO 3.05 | 2 Oct 10 6725 P BTO 16.60 | 2 Oct 10 6790 C BTO 12.40",-1910,6752.24,"2025-10-08","14:30:00",-1635,"Exited at Specified Time",-558,-14.607329842931938,2,99743,3820,"",8,0.343,0.029,5.86,7.51,3.14,-27.49
"2025-09-30","09:35:00",6649.55,"2 Oct 1 6615 P STO 9.10 | 2 Oct 1 6695 C STO 3.55 | 2 Oct 3 6615 P BTO 18.60 | 2 Oct 3 6695 C BTO 13.00",-1900,6704.67,"2025-10-01","14:00:00",-2265,"Below Delta",722,19,2,100301,3800,"",8,0.4,0.332,-5.02,-6.64,23.95,-10.79
"2025-09-23","09:35:00",6695.76,"2 Sep 24 6665 P STO 6.00 | 2 Sep 24 6735 C STO 2.45 | 2 Sep 26 6665 P BTO 15.50 | 2 Sep 26 6735 C BTO 11.40",-1850,6648.7,"2025-09-24","11:34:00",-1415,"Above Delta",-878,-23.72972972972973,2,99579,3700,"",8,0.314,0.571,-1.31,3.32,16.49,-27.3
"2025-09-16","09:35:00",6621.99,"1 Sep 17 6580 P STO 9.70 | 1 Sep 17 6675 C STO 4.00 | 1 Sep 19 6580 P BTO 20.50 | 1 Sep 19 6675 C BTO 13.80",-2065,6611.28,"2025-09-17","14:30:00",-2200,"Exited at Specified Time",131,6.343825665859564,1,100457,2065,"",4,0.399,0.298,8.85,-2.14,20.34,-3.39
"2025-09-09","09:35:00",6502.41,"1 Sep 10 6470 P STO 7.90 | 1 Sep 10 6540 C STO 3.15 | 1 Sep 12 6470 P BTO 19.00 | 1 Sep 12 6540 C BTO 13.85",-2185,6526.26,"2025-09-10","14:30:00",-2515,"Exited at Specified Time",326,14.919908466819223,1,100326,2185,"",4,0.336,0.044,8.18,-0.92,17.16,-8.24
