"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2026-01-30","13:00:00",6914.11,"1 Jan 30 6950 C STO 2.10 | 1 Jan 30 6995 C BTO 0.20",185,6932.52,"2026-01-30","13:55:00",410,"Stop Loss",-230,-124.32432432432432,1,102724.5,4315,"",2.5,2.5,10.5,10.556,-21.74,-33.16,56.76,-140.54
"2026-01-29","13:00:00",6911.4,"1 Jan 29 6945 C STO 1.95 | 1 Jan 29 6990 C BTO 0.20",170,6927.49,"2026-01-29","13:06:00",380,"Stop Loss",-215,-126.47058823529412,1,102954.5,4330,"",2.5,2.5,9.75,19.75,-0.29,-66.34,2.94,-132.35
"2026-01-28","14:45:00",6970.21,"1 Jan 28 6995 C STO 1.80 | 1 Jan 28 7040 C BTO 0.10",165,6978.03,"2026-01-28","16:00:00",0,"Expired",162.5,98.48484848484848,1,103169.5,4335,"",2.5,0,18,1,23.4,-31.79,100,-72.73
"2026-01-28","14:30:00",6964.44,"1 Jan 28 7000 C STO 1.70 | 1 Jan 28 7045 C BTO 0.10",155,6978.62,"2026-01-28","14:31:00",350,"Stop Loss",-200,-129.03225806451613,1,103007,4345,"",2.5,2.5,17,23.333,23.4,-37.56,0,-119.35
"2026-01-27","13:00:00",6977.55,"1 Jan 27 6985 C STO 2.10 | 1 Jan 27 7030 C BTO 0.10",195,6985.54,"2026-01-27","14:31:00",430,"Stop Loss",-240,-123.07692307692308,1,103207,4305,"",2.5,2.5,21,71,15.73,11.59,33.33,-117.95
"2026-01-26","13:00:00",6956.11,"1 Jan 26 6965 C STO 1.65 | 1 Jan 26 7010 C BTO 0.10",150,6961.15,"2026-01-26","13:30:00",335,"Stop Loss",-190,-126.66666666666666,1,103447,4350,"",2.5,2.5,16.5,30.5,7.62,32.88,36.67,-123.33
"2026-01-23","14:45:00",6917.92,"1 Jan 23 6925 C STO 2.00 | 1 Jan 23 6970 C BTO 0.05",190,6915.61,"2026-01-23","16:00:00",0,"Expired",187.5,98.68421052631578,1,103637,4310,"",2.5,0,40,1,-5.5,10.07,100,-5.26
"2026-01-23","13:00:00",6903.01,"1 Jan 23 6925 C STO 1.70 | 1 Jan 23 6970 C BTO 0.10",155,6919.69,"2026-01-23","14:07:00",350,"Stop Loss",-200,-129.03225806451613,1,103449.5,4345,"",2.5,2.5,17,31.5,-5.5,-4.84,19.35,-125.81
"2026-01-22","14:45:00",6921.01,"1 Jan 22 6930 C STO 1.50 | 1 Jan 22 6975 C BTO 0.10",135,6913.35,"2026-01-22","16:00:00",0,"Expired",132.5,98.14814814814815,1,103649.5,4365,"",2.5,0,15,1,38.82,6.57,100,0
"2026-01-20","14:45:00",6801.71,"1 Jan 20 6820 C STO 2.25 | 1 Jan 20 6865 C BTO 0.20",200,6796.86,"2026-01-20","16:00:00",0,"Expired",197.5,98.75,1,103227,4300,"",2.5,0,11.25,1,-74.77,-63.53,100,-20
"2026-01-20","14:30:00",6803.45,"1 Jan 20 6830 C STO 1.65 | 1 Jan 20 6875 C BTO 0.25",135,6796.86,"2026-01-20","16:00:00",0,"Expired",132.5,98.14814814814815,1,103359.5,4365,"",2.5,0,6.6,1,-74.77,-61.79,100,-14.81
"2026-01-20","13:00:00",6834.24,"1 Jan 20 6870 C STO 1.85 | 1 Jan 20 6915 C BTO 0.20",160,6796.86,"2026-01-20","16:00:00",0,"Expired",157.5,98.4375,1,103517,4340,"",2.5,0,9.25,1,-74.77,-31,100,-15.62
"2026-01-16","14:30:00",6944.75,"1 Jan 16 6955 C STO 1.35 | 1 Jan 16 7000 C BTO 0.05",125,6950.71,"2026-01-16","14:39:00",285,"Stop Loss",-165,-132,1,103029.5,4375,"",2.5,2.5,27,54,16.07,-15.79,0,-112
"2026-01-16","13:00:00",6942.85,"1 Jan 16 6960 C STO 1.50 | 1 Jan 16 7005 C BTO 0.10",135,6953.38,"2026-01-16","13:18:00",305,"Stop Loss",-175,-129.62962962962962,1,103194.5,4365,"",2.5,2.5,15,30.5,16.07,-17.69,0,-125.93
"2026-01-15","14:45:00",6958.93,"1 Jan 15 6970 C STO 1.55 | 1 Jan 15 7015 C BTO 0.05",145,6944.47,"2026-01-15","16:00:00",0,"Expired",142.5,98.27586206896551,1,103197,4355,"",2.5,0,31,1,42.86,-10.53,100,-17.24
"2026-01-15","14:30:00",6960.88,"1 Jan 15 6970 C STO 1.85 | 1 Jan 15 7015 C BTO 0.05",175,6944.47,"2026-01-15","16:00:00",0,"Expired",172.5,98.57142857142858,1,103369.5,4325,"",2.5,0,37,1,42.86,-8.58,100,-5.71
"2026-01-15","13:00:00",6964.5,"1 Jan 15 6980 C STO 1.45 | 1 Jan 15 7025 C BTO 0.05",135,6974.62,"2026-01-15","13:32:00",305,"Stop Loss",-175,-129.62962962962962,1,103054.5,4365,"",2.5,2.5,29,55,42.86,-4.96,0,-144.44
"2026-01-14","13:00:00",6890.6,"1 Jan 14 6915 C STO 1.60 | 1 Jan 14 6960 C BTO 0.15",140,6903.47,"2026-01-14","13:53:00",315,"Stop Loss",-180,-128.57142857142858,1,103229.5,4360,"",2.5,2.5,10.667,21,-26.33,-46.81,46.43,-121.43
"2026-01-13","14:30:00",6955.1,"1 Jan 13 6965 C STO 1.30 | 1 Jan 13 7010 C BTO 0.05",120,6963.74,"2026-01-13","16:00:00",0,"Expired",117.5,97.91666666666666,1,103222,4380,"",2.5,0,26,1,0.14,-22.31,100,-16.67
"2026-01-13","13:00:00",6954.24,"1 Jan 13 6970 C STO 2.05 | 1 Jan 13 7015 C BTO 0.10",190,6963.74,"2026-01-13","16:00:00",0,"Expired",187.5,98.68421052631578,1,103409.5,4310,"",2.5,0,20.5,1,0.14,-23.17,100,-28.95
"2026-01-08","14:45:00",6912.83,"1 Jan 8 6920 C STO 1.95 | 1 Jan 8 6965 C BTO 0.05",185,6920.47,"2026-01-08","15:28:00",410,"Stop Loss",-230,-124.32432432432432,1,103279.5,4315,"",2.5,2.5,39,72,-6.82,-1.28,18.92,-110.81
"2026-01-08","14:30:00",6915.15,"1 Jan 8 6925 C STO 1.45 | 1 Jan 8 6970 C BTO 0.05",135,6922.93,"2026-01-08","15:31:00",305,"Stop Loss",-175,-129.62962962962962,1,103104.5,4365,"",2.5,2.5,29,52,-6.82,1.04,59.26,-118.52
"2026-01-07","14:45:00",6945.26,"1 Jan 7 6950 C STO 1.85 | 1 Jan 7 6995 C BTO 0.05",175,6920.93,"2026-01-07","16:00:00",0,"Expired",172.5,98.57142857142858,1,103199.5,4325,"",2.5,0,37,1,0.25,0.19,100,0
"2026-01-07","14:30:00",6942.53,"1 Jan 7 6950 C STO 1.65 | 1 Jan 7 6995 C BTO 0.05",155,6920.93,"2026-01-07","16:00:00",0,"Expired",152.5,98.38709677419355,1,103352,4345,"",2.5,0,33,1,0.25,-2.54,100,-61.29
"2026-01-07","13:00:00",6955.96,"1 Jan 7 6965 C STO 1.70 | 1 Jan 7 7010 C BTO 0.05",160,6920.93,"2026-01-07","16:00:00",0,"Expired",157.5,98.4375,1,103509.5,4340,"",2.5,0,34,1,0.25,10.89,100,0
"2026-01-05","14:45:00",6902.79,"1 Jan 5 6910 C STO 1.25 | 1 Jan 5 6955 C BTO 0.05",115,6908.16,"2026-01-05","15:13:00",265,"Stop Loss",-155,-134.7826086956522,1,102647,4385,"",2.5,2.5,25,46,33.72,10.6,34.78,-113.04
"2026-01-05","14:30:00",6908.32,"1 Jan 5 6910 C STO 2.50 | 1 Jan 5 6955 C BTO 0.05",240,6902.05,"2026-01-05","16:00:00",0,"Expired",237.5,98.95833333333334,1,102884.5,4260,"",2.5,0,50,1,33.72,16.13,100,-14.58
"2026-01-05","13:00:00",6911.96,"1 Jan 5 6920 C STO 1.55 | 1 Jan 5 6965 C BTO 0.05",145,6902.05,"2026-01-05","16:00:00",0,"Expired",142.5,98.27586206896551,1,103027,4355,"",2.5,0,31,1,33.72,19.77,100,-20.69
"2026-01-02","13:00:00",6837.67,"1 Jan 2 6855 C STO 2.30 | 1 Jan 2 6900 C BTO 0.15",210,6849.56,"2026-01-02","14:14:00",465,"Stop Loss",-260,-123.80952380952381,1,102802,4290,"",2.5,2.5,15.333,27.333,32.61,-40.44,85.71,-126.19
"2025-12-31","14:45:00",6872.83,"1 Dec 31 6885 C STO 1.70 | 1 Dec 31 6930 C BTO 0.10",155,6845.5,"2025-12-31","16:00:00",0,"Expired",152.5,98.38709677419355,1,102919.5,4345,"",2.5,0,17,1,2.58,-25.99,100,0
"2025-12-31","14:30:00",6877.91,"1 Dec 31 6890 C STO 1.60 | 1 Dec 31 6935 C BTO 0.10",145,6845.5,"2025-12-31","16:00:00",0,"Expired",142.5,98.27586206896551,1,103062,4355,"",2.5,0,16,1,2.58,-20.91,100,0
