"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2026-01-30","13:00:00",6914.11,"1 Jan 30 6950 C STO 2.10 | 1 Jan 30 6995 C BTO 0.20",178,6927.6,"2026-01-30","13:52:00",385,"Stop Loss",-212,-119.10112359550563,1,102188.5,4322,"",2.5,2.5,10.5,11,-21.74,-33.16,55.06,-116.29
"2026-01-29","13:00:00",6911.4,"1 Jan 29 6945 C STO 1.95 | 1 Jan 29 6990 C BTO 0.20",163,6927.49,"2026-01-29","13:06:00",355,"Stop Loss",-197,-120.85889570552146,1,102400.5,4337,"",2.5,2.5,9.75,19.75,-0.29,-66.34,0,-142.33
"2026-01-28","14:45:00",6970.21,"1 Jan 28 6995 C STO 1.80 | 1 Jan 28 7040 C BTO 0.10",158,6978.03,"2026-01-28","16:00:00",0,"Expired",155.5,98.41772151898735,1,102597.5,4342,"",2.5,0,18,1,23.4,-31.79,100,-80.38
"2026-01-28","14:30:00",6964.44,"1 Jan 28 7000 C STO 1.70 | 1 Jan 28 7045 C BTO 0.10",148,6978.62,"2026-01-28","14:31:00",325,"Stop Loss",-182,-122.97297297297298,1,102442,4352,"",2.5,2.5,17,23.333,23.4,-37.56,0,-129.73
"2026-01-27","13:00:00",6977.55,"1 Jan 27 6985 C STO 2.10 | 1 Jan 27 7030 C BTO 0.10",188,6984.22,"2026-01-27","13:34:00",405,"Stop Loss",-222,-118.08510638297874,1,102624,4312,"",2.5,2.5,21,75,15.73,11.59,30.85,-115.43
"2026-01-26","13:00:00",6956.11,"1 Jan 26 6965 C STO 1.65 | 1 Jan 26 7010 C BTO 0.10",143,6961.15,"2026-01-26","13:30:00",315,"Stop Loss",-177,-123.77622377622377,1,102846,4357,"",2.5,2.5,16.5,30.5,7.62,32.88,33.57,-134.27
"2026-01-23","14:45:00",6917.92,"1 Jan 23 6925 C STO 2.00 | 1 Jan 23 6970 C BTO 0.05",183,6915.61,"2026-01-23","16:00:00",0,"Expired",180.5,98.63387978142076,1,103023,4317,"",2.5,0,40,1,-5.5,10.07,100,-9.29
"2026-01-23","13:00:00",6903.01,"1 Jan 23 6925 C STO 1.70 | 1 Jan 23 6970 C BTO 0.10",148,6919.69,"2026-01-23","14:07:00",325,"Stop Loss",-182,-122.97297297297298,1,102842.5,4352,"",2.5,2.5,17,31.5,-5.5,-4.84,15.54,-136.49
"2026-01-22","14:45:00",6921.01,"1 Jan 22 6930 C STO 1.50 | 1 Jan 22 6975 C BTO 0.10",128,6913.35,"2026-01-22","16:00:00",0,"Expired",125.5,98.046875,1,103024.5,4372,"",2.5,0,15,1,38.82,6.57,100,-5.47
"2026-01-20","14:45:00",6801.71,"1 Jan 20 6820 C STO 2.25 | 1 Jan 20 6865 C BTO 0.20",193,6796.86,"2026-01-20","16:00:00",0,"Expired",190.5,98.70466321243524,1,102623,4307,"",2.5,0,11.25,1,-74.77,-63.53,100,-24.35
