"Strategy","Date Opened","Time Opened","Opening Price","Legs","Initial Premium","No. of Contracts","P/L","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close"
"Bearish Credit 1H ORB [130% SL / 85% SL ADJ. 500%]","2026-02-04","11:41:05.1211638",6883.25,"1 Feb 4 6930 C STO 2.42",2.42,1,45.215,6902.62,"2026-02-04","14:49:01.3085728",-1.95,"Stop Loss"
"Bearish Credit 1H ORB [130% SL / 85% SL ADJ. 500%]","2026-02-04","11:41:05.1211638",6883.25,"1 Feb 4 6970 C BTO 0.27",-0.27,1,-28.175,6882.72,"2026-02-04","16:15:01.4430194",0,"Expired"
"Bearish Credit 1H ORB [130% SL / 85% SL ADJ. 500%]","2026-02-03","11:30:03.5302548",6930.28,"1 Feb 3 6965 C STO 2.20",2.2,1,218.82500000000002,6917.81,"2026-02-03","16:15:00.9429475",0,"Expired"
"Bearish Credit 1H ORB [130% SL / 85% SL ADJ. 500%]","2026-02-03","11:30:03.5302548",6930.28,"1 Feb 3 7005 C BTO 0.30",-0.3,1,-31.175,6917.81,"2026-02-03","16:15:00.8038192",0,"Expired"
"Bearish Credit 1H ORB [130% SL / 85% SL ADJ. 500%]","2026-01-30","11:30:07.3902988",6933.07,"1 Jan 30 7010 C BTO 0.22",-0.22,1,-23.175,6939.03,"2026-01-30","16:15:00.821422",0,"Expired"
"Bearish Credit 1H ORB [130% SL / 85% SL ADJ. 500%]","2026-01-30","11:30:07.3902988",6933.07,"1 Jan 30 6970 C STO 2.32",2.32,1,50.214999999999975,6931.99,"2026-01-30","13:56:00.9276312",-1.8,"Stop Loss"
"Bearish Credit 1H ORB [130% SL / 85% SL ADJ. 500%]","2026-01-29","11:30:03.9383484",6902.46,"1 Jan 29 6945 C STO 2.62",2.62,1,-329.785,6928.81,"2026-01-29","12:15:01.4323916",-5.9,"Stop Loss"
"Bearish Credit 1H ORB [130% SL / 85% SL ADJ. 500%]","2026-01-29","11:30:03.9383484",6902.46,"1 Jan 29 6985 C BTO 0.37",-0.37,1,-3.785000000000002,6928.81,"2026-01-29","12:15:00.7089516",0.35,"OTO"
"Bearish Credit 1H ORB [130% SL / 85% SL ADJ. 500%]","2026-01-28","11:31:04.8885262",6980.75,"1 Jan 28 7055 C BTO 0.17",-0.17,1,-18.175,6978.03,"2026-01-28","16:15:01.0603339",0,"Expired"
"Bearish Credit 1H ORB [130% SL / 85% SL ADJ. 500%]","2026-01-28","11:31:04.8885262",6980.75,"1 Jan 28 7015 C STO 2.47",2.47,1,245.82500000000002,6978.03,"2026-01-28","16:15:01.024732",0,"Expired"
"Bearish Credit 1H ORB [130% SL / 85% SL ADJ. 500%]","2026-01-21","12:13:11.1526551",6810.08,"1 Jan 21 6845 C STO 2.27",2.27,1,-294.785,6831.97,"2026-01-21","12:59:04.0511692",-5.2,"Stop Loss"
"Bearish Credit 1H ORB [130% SL / 85% SL ADJ. 500%]","2026-01-21","12:13:11.1526551",6810.08,"1 Jan 21 6885 C BTO 0.12",-0.12,1,11.215,6831.97,"2026-01-21","12:59:01.5019584",0.25,"OTO"
"Bearish Credit 1H ORB [130% SL / 85% SL ADJ. 500%]","2026-01-14","11:43:05.5453668",6901.66,"1 Jan 14 6925 C STO 2.65 | 1 Jan 14 6965 C BTO 0.20",2.45,1,-29.7,6907.71,"2026-01-14","15:06:23.6958494",-2.7,"Stop Loss"
