"Strategy","Date Opened","Time Opened","Opening Price","Legs","Initial Premium","No. of Contracts","P/L","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-30","13:00:07.9547866",6914.11,"1 Jan 30 6950 C STO 2.07",2.07,1,-224.785,6927.6,"2026-01-30","13:52:00.9263324",-4.3,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-30","13:00:07.9547866",6914.11,"1 Jan 30 6995 C BTO 0.17",-0.17,1,21.215,6927.6,"2026-01-30","13:52:00.6051606",0.4,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-29","13:00:07.7139742",6911.4,"1 Jan 29 6990 C BTO 0.20",-0.2,1,-1.7850000000000001,6928.79,"2026-01-29","13:07:00.7600336",0.2,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-29","13:00:07.7139742",6911.4,"1 Jan 29 6945 C STO 2.05",2.05,1,-206.78499999999997,6928.79,"2026-01-29","13:07:00.979717",-4.1,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-28","14:45:08.9009323",6970.21,"1 Jan 28 6995 C STO 1.77",1.77,1,175.825,6978.03,"2026-01-28","16:15:01.0758614",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-28","14:45:08.9009323",6970.21,"1 Jan 28 7040 C BTO 0.07",-0.07,1,-8.175,6978.03,"2026-01-28","16:15:01.2197977",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-28","14:30:08.7562564",6964.44,"1 Jan 28 7000 C STO 1.92",1.92,1,-199.785,6976.9,"2026-01-28","14:32:01.2584978",-3.9,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-28","14:30:08.7562564",6964.44,"1 Jan 28 7045 C BTO 0.07",-0.07,1,1.2149999999999999,6976.9,"2026-01-28","14:32:00.9776096",0.1,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-27","13:00:30.7432201",6977.55,"1 Jan 27 7030 C BTO 0.07",-0.07,1,-3.7850000000000006,6984.22,"2026-01-27","13:34:00.6786775",0.05,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-27","13:00:30.7432201",6977.55,"1 Jan 27 6985 C STO 1.92",1.92,1,-209.785,6984.22,"2026-01-27","13:34:01.0797808",-4,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-26","13:00:29.1777014",6956.11,"1 Jan 26 6965 C STO 1.45",1.45,1,-156.785,6961.03,"2026-01-26","13:29:01.7579028",-3,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-26","13:00:29.1777014",6956.11,"1 Jan 26 7010 C BTO 0.10",-0.1,1,-6.785,6961.03,"2026-01-26","13:29:01.4964965",0.05,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-23","14:45:23.5350031",6917.92,"1 Jan 23 6925 C STO 1.83",1.83,1,181.825,6915.61,"2026-01-23","16:15:00.9260753",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-23","14:45:23.5350031",6917.92,"1 Jan 23 6970 C BTO 0.03",-0.03,1,-4.175,6915.61,"2026-01-23","16:15:00.6762381",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-23","13:00:08.7954584",6903.01,"1 Jan 23 6925 C STO 1.62",1.62,1,-179.78499999999997,6919.69,"2026-01-23","14:07:01.4872045",-3.4,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-23","13:00:08.7954584",6903.01,"1 Jan 23 6970 C BTO 0.07",-0.07,1,-3.7850000000000006,6919.69,"2026-01-23","14:07:01.2428656",0.05,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-22","14:45:20.1782178",6921.01,"1 Jan 22 6975 C BTO 0.07",-0.07,1,-8.175,6913.35,"2026-01-22","16:15:00.8457068",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-22","14:45:20.1782178",6921.01,"1 Jan 22 6930 C STO 1.37",1.37,1,135.825,6913.35,"2026-01-22","16:15:00.8287823",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-20","14:45:18.4501957",6801.71,"1 Jan 20 6865 C BTO 0.17",-0.17,1,-18.175,6796.86,"2026-01-20","16:15:01.7436444",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-20","14:45:18.4501957",6801.71,"1 Jan 20 6820 C STO 2.12",2.12,1,210.825,6796.86,"2026-01-20","16:15:01.8146318",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-20","14:30:28.8107627",6803.45,"1 Jan 20 6830 C STO 1.42",1.42,1,140.825,6796.86,"2026-01-20","16:15:01.9714552",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-20","14:30:28.8107627",6803.45,"1 Jan 20 6875 C BTO 0.22",-0.22,1,-23.175,6796.86,"2026-01-20","16:15:01.7679753",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-20","13:00:09.5516729",6834.24,"1 Jan 20 6870 C STO 1.82",1.82,1,180.825,6796.86,"2026-01-20","16:15:01.7805564",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-20","13:00:09.5516729",6834.24,"1 Jan 20 6915 C BTO 0.17",-0.17,1,-18.175,6796.86,"2026-01-20","16:15:01.7772712",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-16","14:30:09.2004806",6944.75,"1 Jan 16 7000 C BTO 0.05",-0.05,1,-1.7850000000000001,6951.95,"2026-01-16","14:59:01.4574915",0.05,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-16","14:30:09.2004806",6944.75,"1 Jan 16 6955 C STO 1.40",1.4,1,-161.785,6950.71,"2026-01-16","14:39:02.5349106",-3,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-16","13:00:09.1648525",6942.85,"1 Jan 16 6960 C STO 1.55",1.55,1,-176.78499999999997,6953.77,"2026-01-16","13:19:02.3980717",-3.3,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-16","13:00:09.1648525",6942.85,"1 Jan 16 7005 C BTO 0.05",-0.05,1,-1.7850000000000001,6953.77,"2026-01-16","13:19:01.6454279",0.05,"OTO"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-15","14:45:24.0809331",6958.93,"1 Jan 15 6970 C STO 1.40",1.4,1,138.825,6944.47,"2026-01-15","16:15:02.3081804",0,"Expired"
