"Strategy","Date Opened","Time Opened","Opening Price","Legs","Initial Premium","No. of Contracts","P/L","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close"
"Tuesday 1/3 Double Calendar [Delta based rail]","2026-02-03","09:35:07.7539631",6983.77,"1 Feb 4 6945 P STO 9.50 | 1 Feb 4 7025 C STO 3.40 | 1 Feb 6 6945 P BTO 22.33 | 1 Feb 6 7025 C BTO 15.92",-25.35,1,-944.6700000000001,6887.72,"2026-02-03","13:14:57.4687903",16,"Above Delta"
"Tuesday 1/3 Double Calendar [Delta based rail]","2026-01-27","09:35:09.4857866",6966.22,"1 Jan 28 6925 P STO 8.85 | 1 Jan 28 7010 C STO 3.40 | 1 Jan 30 6925 P BTO 23.85 | 1 Jan 30 7010 C BTO 18.00",-29.6,1,280.32999999999987,6964.44,"2026-01-28","14:30:08.7584811",32.5,"Exited at Specified Time"
"Tuesday 1/3 Double Calendar [Delta based rail]","2026-01-20","09:35:20.0898512",6849.5,"1 Jan 21 6785 P STO 14.35 | 1 Jan 21 6930 C STO 6.00 | 1 Jan 23 6785 P BTO 27.35 | 1 Jan 23 6930 C BTO 16.25",-23.25,1,-1064.67,6867.66,"2026-01-21","14:30:58.6488424",12.7,"Exited at Specified Time"
"Tuesday 1/3 Double Calendar [Delta based rail]","2026-01-13","09:35:10.9254475",6983.38,"1 Jan 14 6950 P STO 9.04 | 1 Jan 14 7030 C STO 2.92 | 1 Jan 16 6950 P BTO 18.34 | 1 Jan 16 7030 C BTO 11.62",-18,1,-369.66999999999996,6926.98,"2026-01-14","09:32:59.7494188",14.4,"Above Delta"
"Tuesday 1/3 Double Calendar [Delta based rail]","2026-01-06","09:35:09.5466749",6909.43,"1 Jan 7 6875 P STO 7.51 | 1 Jan 7 6950 C STO 2.20 | 1 Jan 9 6875 P BTO 19.49 | 1 Jan 9 6950 C BTO 11.57",-21.35,1,-99.67000000000021,6963.97,"2026-01-07","12:06:10.9427153",20.45,"Below Delta"
"Tuesday 1/3 Double Calendar [Delta based rail]","2025-12-30","09:35:13.483886",6900.82,"1 Dec 31 6865 P STO 7.63 | 1 Dec 31 6945 C STO 3.19 | 1 Jan 2 6865 P BTO 11.94 | 1 Jan 2 6945 C BTO 7.23",-8.35,1,121.07000000000005,6877.91,"2025-12-31","14:30:19.1386644",9.65,"Exited at Specified Time"
"Tuesday 1/3 Double Calendar [Delta based rail]","2025-12-23","09:35:08.8550582",6880.28,"1 Dec 24 6855 P STO 6.59 | 1 Dec 24 6910 C STO 2.45 | 1 Dec 26 6855 P BTO 10.62 | 1 Dec 26 6910 C BTO 6.12",-7.7,1,65.32999999999991,6918.77,"2025-12-24","10:11:19.0651486",8.45,"Below Delta"
"Tuesday 1/3 Double Calendar [Delta based rail]","2025-12-16","09:35:39.5152978",6804.21,"1 Dec 17 6755 P STO 11.16 | 1 Dec 17 6865 C STO 4.65 | 1 Dec 19 6755 P BTO 24.75 | 1 Dec 19 6865 C BTO 17.66",-26.6,1,-99.02000000000021,6732.42,"2025-12-17","13:41:28.5294379",25.7,"Above Delta"
"Tuesday 1/3 Double Calendar [Delta based rail]","2025-12-09","09:35:24.1638743",6846.39,"1 Dec 10 6795 P STO 11.20 | 1 Dec 10 6910 C STO 4.90 | 1 Dec 12 6795 P BTO 25.93 | 1 Dec 12 6910 C BTO 18.82",-28.65,1,-229.75999999999993,6864.44,"2025-12-10","14:10:09.6955468",26.45,"Exited at Specified Time"
"Tuesday 1/3 Double Calendar [Delta based rail]","2025-12-02","09:35:29.3608401",6833.01,"1 Dec 3 6790 P STO 8.55 | 1 Dec 3 6885 C STO 3.70 | 1 Dec 5 6790 P BTO 19.70 | 1 Dec 5 6885 C BTO 13.80",-21.25,1,-279.5799999999999,6856.24,"2025-12-03","14:10:16.3096607",18.55,"Exited at Specified Time"
"Tuesday 1/3 Double Calendar [Delta based rail]","2025-11-25","09:35:13.7563302",6709.61,"1 Nov 26 6655 P STO 12.38 | 1 Nov 26 6775 C STO 4.60 | 1 Nov 28 6655 P BTO 19.30 | 1 Nov 28 6775 C BTO 10.78",-13.1,1,-389.6699999999999,6808.98,"2025-11-26","09:50:08.821638",9.3,"Below Delta"
"Tuesday 1/3 Double Calendar [Delta based rail]","2025-11-18","09:35:19.3999551",6645.47,"1 Nov 19 6570 P STO 17.00 | 1 Nov 19 6740 C STO 6.40 | 1 Nov 21 6570 P BTO 40.40 | 1 Nov 21 6740 C BTO 25.70",-42.7,1,226.06999999999942,6634.15,"2025-11-19","14:10:08.947701",45.05,"Exited at Specified Time"
"Tuesday 1/3 Double Calendar [Delta based rail]","2025-11-11","09:35:19.8872253",6820.23,"1 Nov 12 6780 P STO 9.80 | 1 Nov 12 6875 C STO 3.45 | 1 Nov 14 6780 P BTO 22.17 | 1 Nov 14 6875 C BTO 13.68",-22.6,1,310.41999999999996,6855.41,"2025-11-12","14:10:33.8306427",25.8,"Exited at Specified Time"
"Tuesday 1/3 Double Calendar [Delta based rail]","2025-11-04","09:35:29.5153183",6768.79,"1 Nov 5 6705 P STO 12.58 | 1 Nov 5 6845 C STO 6.09 | 1 Nov 7 6705 P BTO 24.39 | 1 Nov 7 6845 C BTO 17.28",-23,1,-289.58000000000004,6819.96,"2025-11-05","14:10:14.3931935",20.2,"Exited at Specified Time"
"Tuesday 1/3 Double Calendar [Delta based rail]","2025-10-28","09:35:10.0182775",6891.17,"1 Oct 29 6850 P STO 8.89 | 1 Oct 29 6940 C STO 3.65 | 1 Oct 31 6850 P BTO 25.35 | 1 Oct 31 6940 C BTO 18.19",-31,1,660.2400000000002,6904.82,"2025-10-29","14:10:33.6031281",37.7,"Exited at Specified Time"
"Tuesday 1/3 Double Calendar [Delta based rail]","2025-10-21","09:35:23.6522286",6738.24,"1 Oct 22 6695 P STO 9.89 | 1 Oct 22 6785 C STO 3.10 | 1 Oct 24 6695 P BTO 24.00 | 1 Oct 24 6785 C BTO 16.59",-27.6,1,-514.0200000000001,6672.32,"2025-10-22","13:33:08.3957097",22.55,"Above Delta"
"Tuesday 1/3 Double Calendar [Delta based rail]","2025-10-07","09:35:28.816791",6753.65,"1 Oct 8 6725 P STO 7.09 | 1 Oct 8 6790 C STO 2.65 | 1 Oct 10 6725 P BTO 17.05 | 1 Oct 10 6790 C BTO 11.94",-19.25,1,-343.92999999999995,6752.62,"2025-10-08","14:10:15.9563402",15.9,"Exited at Specified Time"
