"Strategy","Date Opened","Time Opened","Opening Price","Legs","Initial Premium","No. of Contracts","P/L","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-02-02","14:45:08.491157",6987.86,"1 Feb 2 6990 C STO 2.65",2.65,1,263.825,6976.44,"2026-02-02","16:15:00.8177959",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-02-02","14:45:08.491157",6987.86,"1 Feb 2 7035 C BTO 0.05",-0.05,1,-6.175,6976.44,"2026-02-02","16:15:00.8100434",0,"Expired"
"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL]","2026-02-02","14:30:07.6974087",6990.71,"1 Feb 2 6985 P STO 1.97",1.97,1,-204.78500000000003,6986.12,"2026-02-02","14:37:01.421742",-4,"Stop Loss"
"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL]","2026-02-02","14:30:07.6974087",6990.71,"1 Feb 2 6940 P BTO 0.32",-0.32,1,1.2149999999999972,6986.12,"2026-02-02","14:37:00.8584184",0.35,"OTO"
"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL]","2026-02-02","13:00:11.0545014",6986.95,"1 Feb 2 6975 P STO 2.42",2.42,1,-279.785,6976.62,"2026-02-02","15:00:01.6480333",-5.2,"Stop Loss"
"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL]","2026-02-02","13:00:11.0545014",6986.95,"1 Feb 2 6930 P BTO 0.47",-0.47,1,11.215,6976.62,"2026-02-02","15:00:01.0199176",0.6,"OTO"
"Mid Day IronFly [PUTs + CALLs]","2026-02-02","11:15:08.0031153",6973.21,"1 Feb 2 7000 C STO 0.76 | 1 Feb 2 7000 P STO 28.47 | 1 Feb 2 7030 C BTO 0.12 | 1 Feb 2 6970 P BTO 8.06",21.05,1,-255.6999999999998,6976.44,"2026-02-02","16:15:00.6035989",-23.56,"Expired"
"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL]","2026-01-30","14:30:07.4878557",6936,"1 Jan 30 6910 P STO 2.82",2.82,1,280.825,6939.03,"2026-01-30","16:15:00.8129293",0,"Expired"
"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL]","2026-01-30","14:30:07.4878557",6936,"1 Jan 30 6865 P BTO 0.32",-0.32,1,-33.175,6939.03,"2026-01-30","16:15:00.7581046",0,"Expired"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-30","13:00:07.9547866",6914.11,"1 Jan 30 6950 C STO 2.07",2.07,1,-224.785,6927.6,"2026-01-30","13:52:00.9263324",-4.3,"Stop Loss"
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]","2026-01-30","13:00:07.9547866",6914.11,"1 Jan 30 6995 C BTO 0.17",-0.17,1,21.215,6927.6,"2026-01-30","13:52:00.6051606",0.4,"OTO"
"Bearish Credit 1H ORB [130% SL / 85% SL ADJ. 500%]","2026-01-30","11:30:07.3902988",6933.07,"1 Jan 30 7010 C BTO 0.22",-0.22,1,-23.175,6939.03,"2026-01-30","16:15:00.821422",0,"Expired"
"Bearish Credit 1H ORB [130% SL / 85% SL ADJ. 500%]","2026-01-30","11:30:07.3902988",6933.07,"1 Jan 30 6970 C STO 2.32",2.32,1,50.214999999999975,6931.99,"2026-01-30","13:56:00.9276312",-1.8,"Stop Loss"
"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL]","2026-01-29","14:30:14.753277",6943.98,"1 Jan 29 6930 P STO 2.07",2.07,1,-224.785,6935.7,"2026-01-29","14:31:01.6635274",-4.3,"Stop Loss"
