Strategy,Date Opened,Time Opened,Opening Price,Legs,Initial Premium,No. of Contracts,P/L,Closing Price,Date Closed,Time Closed,Avg. Closing Cost,Reason For Close
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]",2026-02-02,14:45:08,6987.86,1 Feb 2 6990 C STO 2.65,2.65,1,263.825,6976.44,2026-02-02,16:15:01,0,Expired
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]",2026-02-02,14:45:08,6987.86,1 Feb 2 7035 C BTO 0.05,-0.05,1,-6.175,6976.44,2026-02-02,16:15:01,0,Expired
"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL]",2026-02-02,14:30:08,6990.71,1 Feb 2 6985 P STO 1.97,1.97,1,-204.785,6986.12,2026-02-02,14:37:01,-4,Stop Loss
"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL]",2026-02-02,14:30:08,6990.71,1 Feb 2 6940 P BTO 0.32,-0.32,1,1.215,6986.12,2026-02-02,14:37:01,0.35,OTO
"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL]",2026-02-02,13:00:11,6986.95,1 Feb 2 6975 P STO 2.42,2.42,1,-279.785,6976.62,2026-02-02,15:00:02,-5.2,Stop Loss
"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL]",2026-02-02,13:00:11,6986.95,1 Feb 2 6930 P BTO 0.47,-0.47,1,11.215,6976.62,2026-02-02,15:00:01,0.6,OTO
Mid Day IronFly [PUTs + CALLs],2026-02-02,11:15:08,6973.21,1 Feb 2 7000 C STO 0.76 | 1 Feb 2 7000 P STO 28.47 | 1 Feb 2 7030 C BTO 0.12 | 1 Feb 2 6970 P BTO 8.06,21.05,1,-255.7,6976.44,2026-02-02,16:15:01,-23.56,Expired
"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL]",2026-01-30,14:30:07,6936,1 Jan 30 6910 P STO 2.82,2.82,1,280.825,6939.03,2026-01-30,16:15:01,0,Expired
"METF PUT Spreads (13:00,14:30) [2.5P / 110% SL]",2026-01-30,14:30:07,6936,1 Jan 30 6865 P BTO 0.32,-0.32,1,-33.175,6939.03,2026-01-30,16:15:01,0,Expired
"METF CALL Spreads (13:00,14:30,14:45) [1.9P / 110% SL]",2026-01-30,13:00:08,6914.11,1 Jan 30 6950 C STO 2.07,2.07,1,-224.785,6927.6,2026-01-30,13:52:01,-4.3,Stop Loss
